index,int8,hex,mV
9366,0,00,0
9367,-2,fe,-0.030519
9368,-2,fe,-0.030519
9369,-2,fe,-0.030519
9370,-1,ff,-0.015259
9371,0,00,0
9372,-1,ff,-0.015259
9373,1,01,0.015259
9374,-1,ff,-0.015259
9375,-1,ff,-0.015259
9376,0,00,0
9377,-1,ff,-0.015259
9378,0,00,0
9379,0,00,0
9380,0,00,0
9381,1,01,0.015259
9382,0,00,0
9383,-1,ff,-0.015259
9384,-2,fe,-0.030519
9385,-3,fd,-0.045778
9386,-2,fe,-0.030519
9387,-4,fc,-0.061037
9388,-1,ff,-0.015259
9389,-1,ff,-0.015259
9390,-4,fc,-0.061037
9391,-3,fd,-0.045778
9392,-5,fb,-0.076296
9393,-5,fb,-0.076296
9394,-5,fb,-0.076296
9395,-5,fb,-0.076296
9396,-3,fd,-0.045778
9397,-4,fc,-0.061037
9398,-4,fc,-0.061037
9399,-4,fc,-0.061037
9400,-4,fc,-0.061037
9401,-2,fe,-0.030519
9402,-3,fd,-0.045778
9403,0,00,0
9404,-3,fd,-0.045778
9405,-3,fd,-0.045778
9406,-1,ff,-0.015259
9407,-2,fe,-0.030519
9408,-2,fe,-0.030519
9409,-2,fe,-0.030519
9410,-2,fe,-0.030519
9411,0,00,0
9412,0,00,0
9413,0,00,0
9414,0,00,0
9415,0,00,0
9416,1,01,0.015259
9417,0,00,0
9418,2,02,0.030519
9419,-1,ff,-0.015259
9420,-1,ff,-0.015259
9421,0,00,0
9422,-1,ff,-0.015259
9423,-1,ff,-0.015259
9424,-1,ff,-0.015259
9425,-1,ff,-0.015259
9426,0,00,0
9427,-1,ff,-0.015259
9428,-1,ff,-0.015259
9429,-1,ff,-0.015259
9430,-2,fe,-0.030519
9431,0,00,0
9432,-2,fe,-0.030519
9433,0,00,0
9434,-2,fe,-0.030519
9435,-3,fd,-0.045778
9436,-2,fe,-0.030519
9437,-3,fd,-0.045778
9438,-2,fe,-0.030519
9439,-2,fe,-0.030519
9440,-1,ff,-0.015259
9441,0,00,0
9442,-1,ff,-0.015259
9443,0,00,0
9444,-1,ff,-0.015259
9445,-1,ff,-0.015259
9446,0,00,0
9447,-2,fe,-0.030519
9448,0,00,0
9449,-3,fd,-0.045778
9450,-2,fe,-0.030519
9451,0,00,0
9452,-2,fe,-0.030519
9453,-1,ff,-0.015259
9454,-1,ff,-0.015259
9455,-1,ff,-0.015259
9456,0,00,0
9457,-1,ff,-0.015259
9458,-1,ff,-0.015259
9459,-2,fe,-0.030519
9460,-2,fe,-0.030519
